year,name,value
2001,Game Boy Advance,1060000
2001,DS,0
2001,GameCube,0
2001,Wii,0
2002,Game Boy Advance,17090000
2002,DS,0
2002,GameCube,3800000
2002,Wii,0
2003,Game Boy Advance,15650000
2003,DS,0
2003,GameCube,5750000
2003,Wii,0
2004,Game Boy Advance,17590000
2004,DS,0
2004,GameCube,5020000
2004,Wii,0
2005,Game Boy Advance,15390000
2005,DS,5260000
2005,GameCube,3920000
2005,Wii,0
2006,Game Boy Advance,8340000
2006,DS,11460000
2006,GameCube,2360000
2006,Wii,0
2007,Game Boy Advance,4340000
2007,DS,23560000
2007,GameCube,750000
2007,Wii,5840000
2008,Game Boy Advance,1590000
2008,DS,30290000
2008,GameCube,160000
2008,Wii,18630000
2009,Game Boy Advance,420000
2009,DS,31180000
2009,GameCube,0
2009,Wii,25970000
2010,Game Boy Advance,40000
2010,DS,27110000
2010,GameCube,0
2010,Wii,20560000
2011,Game Boy Advance,0
2011,DS,17520000
2011,GameCube,0
2011,Wii,15080000
2012,Game Boy Advance,0
2012,DS,5100000
2012,GameCube,0
2012,Wii,9820000
2012,3DS,13550000
2013,Game Boy Advance,0
2013,DS,2370000
2013,GameCube,0
2013,Wii,3980000
2013,3DS,13950000
2013,Wii U,3440000
2014,Game Boy Advance,0
2014,DS,130000
2014,GameCube,0
2014,Wii,1220000
2014,3DS,12240000
2014,Wii U,2720000
2015,Game Boy Advance,0
2015,DS,20000
2015,GameCube,0
2015,Wii,460000
2015,3DS,8730000
2015,Wii U,3380000
2016,Game Boy Advance,0
2016,DS,10000
2016,GameCube,0
2016,Wii,110000
2016,3DS,6790000
2016,Wii U,3260000
2017,Game Boy Advance,0
2017,DS,0
2017,GameCube,0
2017,Wii,0
2017,3DS,7270000
2017,Wii U,760000
2017,Switch,2740000
2018,Game Boy Advance,0
2018,DS,0
2018,GameCube,0
2018,Wii,0
2018,3DS,6400000
2018,Wii U,0
2018,Switch,15050000
2019,Game Boy Advance,0
2019,DS,0
2019,GameCube,0
2019,Wii,0
2019,3DS,6400000
2019,Wii U,0
2019,Switch,16950000
2020,Game Boy Advance,0
2020,DS,0
2020,GameCube,0
2020,Wii,0
2020,3DS,690000
2020,Wii U,0
2020,Switch,21030000
